Category,Subcategory,Date,Approval Authority Level,Notes,Amount
Cost of Goods Sold,,2021-06-24,3,Task report might so institution.,9.41
R&D,,2021-06-24,1,Account allow order cover environment finish.,3.73
Marketing,,2021-06-24,3,Then make when important.,1.91
Admin Expenses,,2021-06-24,1,Need sign happy process.,10.35
Employee Compensation,Base Salary,2021-06-24,3,Do simply drug moment.,1.86
Cost of Goods Sold,,2021-06-25,3,Language account hope support just ok.,8.62
R&D,,2021-06-25,1,Ever toward indeed.,7.36
Marketing,,2021-06-25,3,Consumer rich personal effort build.,11.13
Admin Expenses,,2021-06-25,1,Quality sport question somebody suddenly something build.,6.55
Employee Compensation,Bonuses,2021-06-25,2,Camera section organization weight drive quite improve.,1.58
Cost of Goods Sold,,2021-06-26,2,Finish financial PM young specific.,9.24
R&D,,2021-06-26,3,Take street available remain.,4.11
Marketing,,2021-06-26,3,Spring pressure skill from finally among several they.,6.89
Admin Expenses,,2021-06-26,1,Seem edge be them.,7.18
Employee Compensation,Taxes,2021-06-26,1,Fill throughout this black hot while.,1.44
Cost of Goods Sold,,2021-06-27,1,Safe live language.,8.01
R&D,,2021-06-27,2,Capital up where.,2.07
Marketing,,2021-06-27,1,Approach yeah middle start opportunity ever other.,10.61
Admin Expenses,,2021-06-27,2,Development significant his off strong fast wind civil.,5.2
Employee Compensation,Base Salary,2021-06-27,3,Rise trip ground cultural society body from end.,1.68
Cost of Goods Sold,,2021-06-28,3,Head here far him.,5.7
R&D,,2021-06-28,2,Consider fill institution Republican technology strong.,4.4
Marketing,,2021-06-28,1,By doctor charge old debate trip.,1.08
Admin Expenses,,2021-06-28,2,Side eat talk if.,5.47
Employee Compensation,Base Salary,2021-06-28,2,Democratic defense mind you.,1.79
Cost of Goods Sold,,2021-07-01,3,Place challenge firm child explain.,11.15
R&D,,2021-07-01,3,And huge never owner her enough produce.,11.85
Marketing,,2021-07-01,2,Keep nor air not wide.,7.53
Admin Expenses,,2021-07-01,3,Admit though quality.,9.99
Employee Compensation,Bonuses,2021-07-01,1,Practice many toward again name on.,1.22
Cost of Goods Sold,,2021-07-02,3,Maintain into full much language pass young population.,10.67
R&D,,2021-07-02,2,Six stage truth point.,5.71
Marketing,,2021-07-02,3,School sit since environment.,11.62
Admin Expenses,,2021-07-02,2,Vote picture grow.,9.48
Employee Compensation,Base Salary,2021-07-02,3,Series decade air television purpose.,1.58
Cost of Goods Sold,,2021-07-03,3,Turn movie when dog feel itself both religious.,9.99
R&D,,2021-07-03,1,Course sit task weight building newspaper specific.,6.36
Marketing,,2021-07-03,3,Pay teacher record player task suggest sometimes.,9.51
Admin Expenses,,2021-07-03,2,Might magazine nothing idea mean fly huge.,9.87
Employee Compensation,Benefits,2021-07-03,1,Those agent quite fine politics without.,1.98
Cost of Goods Sold,,2021-07-04,2,Finish water last event control industry life.,9.49
R&D,,2021-07-04,1,Fight start water friend discussion.,7.71
Marketing,,2021-07-04,3,Prevent ground modern imagine position agree beyond.,2.26
Admin Expenses,,2021-07-04,3,Kid eight myself heart rule within.,2.48
Employee Compensation,Benefits,2021-07-04,2,Be population cultural school provide.,1.7
Cost of Goods Sold,,2021-07-05,3,Product federal add former politics television.,6.14
R&D,,2021-07-05,3,Owner relationship instead never.,9.7
Marketing,,2021-07-05,2,Some rather probably after week western.,11.65
Admin Expenses,,2021-07-05,2,Reality some fund.,6.28
Employee Compensation,Base Salary,2021-07-05,1,Quickly one six test certainly.,1.65
Cost of Goods Sold,,2021-07-06,2,State also member follow up senior onto.,3.31
R&D,,2021-07-06,3,After reality its quality government.,4.98
Marketing,,2021-07-06,3,Cup phone team bar once.,6.35
Admin Expenses,,2021-07-06,1,Begin professor place represent later know back.,8.97
Employee Compensation,Base Salary,2021-07-06,1,Commercial hair necessary ground.,1.81
Cost of Goods Sold,,2021-07-07,1,Skin age fire office generation well exactly.,7.57
R&D,,2021-07-07,1,I just most wall mission huge.,3.19
Marketing,,2021-07-07,2,Two including year food.,7.73
Admin Expenses,,2021-07-07,1,Hotel here account moment born much finish prevent.,2.67
Employee Compensation,Base Salary,2021-07-07,3,Face feel face name late despite.,1.08
Cost of Goods Sold,,2021-07-08,3,Fund week painting lawyer fly actually role.,9.03
R&D,,2021-07-08,2,Particular behavior president degree again wear discuss easy.,4.95
Marketing,,2021-07-08,3,Nature political fight smile food task across provide.,6.62
Admin Expenses,,2021-07-08,2,Fine attorney computer exist true seek expect.,4.92
Employee Compensation,Taxes,2021-07-08,1,Agency herself success send explain line market.,1.45
Cost of Goods Sold,,2021-07-09,3,Western relate certainly newspaper even significant or month.,3.34
R&D,,2021-07-09,2,Visit industry need common treat.,8.74
Marketing,,2021-07-09,1,Technology idea baby create just charge.,8.5
Admin Expenses,,2021-07-09,2,And husband investment talk decide social.,2.11
Employee Compensation,Benefits,2021-07-09,1,Lose big individual special however economy quite wish.,1.22
Cost of Goods Sold,,2021-07-10,2,Everything last under sit should defense model particularly.,11.79
R&D,,2021-07-10,1,Speak far large structure management company mission.,8.79
Marketing,,2021-07-10,2,Trip attorney city old road.,5.98
Admin Expenses,,2021-07-10,2,Practice want which.,7.2
Employee Compensation,Bonuses,2021-07-10,1,Image artist million bill.,1.95
Cost of Goods Sold,,2021-07-11,2,Do decade large stop.,7.06
R&D,,2021-07-11,1,Take south notice step.,6.93
Marketing,,2021-07-11,2,Actually late present born no.,6.56
Admin Expenses,,2021-07-11,1,He guy hope bill.,1.52
Employee Compensation,Taxes,2021-07-11,2,Admit clear our adult perhaps sell trouble.,1.15
Cost of Goods Sold,,2021-07-12,2,I main their building chair.,11.06
R&D,,2021-07-12,3,Tough outside production art.,9.92
Marketing,,2021-07-12,1,Election cultural so week option society.,4.75
Admin Expenses,,2021-07-12,1,Approach big store them need.,7.08
Employee Compensation,Benefits,2021-07-12,2,Describe large gun.,1.05
Cost of Goods Sold,,2021-07-13,2,Major call turn part part long reveal.,6.24
R&D,,2021-07-13,1,After thus fly himself.,9.22
Marketing,,2021-07-13,2,Control head machine total artist rock food.,10.93
Admin Expenses,,2021-07-13,3,President hope affect often treatment although role.,11.13
Employee Compensation,Base Salary,2021-07-13,2,Article above suffer.,1.84
Cost of Goods Sold,,2021-07-14,1,Within until boy leave water.,4.66
R&D,,2021-07-14,2,Play federal husband market out item until Democrat.,2.35
Marketing,,2021-07-14,3,Article thousand better.,11.17
Admin Expenses,,2021-07-14,1,Put or fund similar company.,2.7
Employee Compensation,Taxes,2021-07-14,3,Effort three child.,1.15
Cost of Goods Sold,,2021-07-15,3,Reason possible rise.,1.88
R&D,,2021-07-15,2,Article smile time grow bed argue field.,8.16
Marketing,,2021-07-15,1,Can might order teach discussion case hospital method.,6.37
Admin Expenses,,2021-07-15,2,Work series development perform anyone remember talk.,9.78
Employee Compensation,Taxes,2021-07-15,1,Raise memory focus wrong rise difference.,1.07
Cost of Goods Sold,,2021-07-16,1,Write hundred computer not make after.,1.63
R&D,,2021-07-16,3,Some create cultural letter anything.,4.23
Marketing,,2021-07-16,2,Bad each how early represent.,2.77
Admin Expenses,,2021-07-16,1,Physical film particularly change management movie.,1.31
Employee Compensation,Benefits,2021-07-16,3,Water scientist book scene year.,1.49
Cost of Goods Sold,,2021-07-17,1,Contain case apply kid window these.,6.28
R&D,,2021-07-17,2,Most for should around whole lot market.,7.42
Marketing,,2021-07-17,1,Think floor way air seek fine establish.,2.76
Admin Expenses,,2021-07-17,1,Under say staff agent place visit office.,5.63
Employee Compensation,Taxes,2021-07-17,1,Take wind to theory.,1.65
Cost of Goods Sold,,2021-07-18,2,From account discuss customer sure meet plan eat.,2.29
R&D,,2021-07-18,3,Hand citizen rich receive maybe.,2.06
Marketing,,2021-07-18,2,Economic hand thought thank few too first.,11.59
Admin Expenses,,2021-07-18,3,Respond security set speak.,4.29
Employee Compensation,Bonuses,2021-07-18,2,Reach produce common dream.,1.12
Cost of Goods Sold,,2021-07-19,3,Win under whole clear accept relationship.,3.37
R&D,,2021-07-19,1,His maybe wall song girl.,2.45
Marketing,,2021-07-19,2,Option cell town want seem.,6.86
Admin Expenses,,2021-07-19,3,Science treat tell throw outside bag account.,2.34
Employee Compensation,Base Salary,2021-07-19,3,Near step none.,1.79
Cost of Goods Sold,,2021-07-20,3,Not up smile behind stuff.,10.02
R&D,,2021-07-20,2,Trial series almost a.,6.66
Marketing,,2021-07-20,2,Simple low out investment every each.,2.16
Admin Expenses,,2021-07-20,1,Actually interview claim rate upon.,11.76
Employee Compensation,Taxes,2021-07-20,1,Mrs investment food.,1.08
Cost of Goods Sold,,2021-07-21,1,Day despite early.,7.38
R&D,,2021-07-21,1,Space start go away.,8.72
Marketing,,2021-07-21,3,Body step low service oil easy thought.,5.81
Admin Expenses,,2021-07-21,2,Example rule simple think whole TV.,10.49
Employee Compensation,Benefits,2021-07-21,3,Rule give indeed although produce.,1.37
Cost of Goods Sold,,2021-07-22,1,Point his project those character former.,2.02
R&D,,2021-07-22,2,Know surface may avoid pay herself second commercial.,7.52
Marketing,,2021-07-22,3,Through care people nor history pick church.,4.12
Admin Expenses,,2021-07-22,1,Stage president civil require.,4.77
Employee Compensation,Base Salary,2021-07-22,3,Above space many assume forward far.,1.39
Cost of Goods Sold,,2021-07-23,2,Hotel spend mention myself.,9.44
R&D,,2021-07-23,1,Turn pressure agree.,1.63
Marketing,,2021-07-23,1,Unit great travel wish road.,6.88
Admin Expenses,,2021-07-23,1,Themselves its mission city.,7.42
Employee Compensation,Benefits,2021-07-23,3,Truth almost yourself anyone.,1.43
Cost of Goods Sold,,2021-07-24,3,Whole party see whatever finally.,4.8
R&D,,2021-07-24,1,Perform car seek wear manage.,10.0
Marketing,,2021-07-24,1,Democrat language remember both.,2.86
Admin Expenses,,2021-07-24,2,Mother author protect reality general fast case international.,2.6
Employee Compensation,Benefits,2021-07-24,2,Store require nor business word activity.,1.09
Cost of Goods Sold,,2021-07-25,2,Down too describe company.,5.08
R&D,,2021-07-25,3,Return most per executive poor expert make quality.,11.67
Marketing,,2021-07-25,1,Dog house record scientist least I.,9.37
Admin Expenses,,2021-07-25,3,About should speak and.,6.25
Employee Compensation,Bonuses,2021-07-25,2,Also still although its there before crime.,1.53
Cost of Goods Sold,,2021-07-26,1,Anyone someone fine operation put.,2.28
R&D,,2021-07-26,3,Morning movement training soon Republican notice get agree.,11.39
Marketing,,2021-07-26,3,Lead reduce well community strategy miss sing politics.,1.69
Admin Expenses,,2021-07-26,3,Later everybody perhaps term simple model moment structure.,2.91
Employee Compensation,Base Salary,2021-07-26,3,Order enjoy expect think happy.,1.43
Cost of Goods Sold,,2021-07-27,3,Degree this defense reveal from.,9.74
R&D,,2021-07-27,3,Cost camera think medical way.,1.05
Marketing,,2021-07-27,2,Board politics western yourself human market hundred assume.,8.38
Admin Expenses,,2021-07-27,2,Draw speak blood other admit.,7.43
Employee Compensation,Bonuses,2021-07-27,3,Event agreement mouth out base.,1.53
Cost of Goods Sold,,2021-07-28,2,Customer check body radio product.,8.89
R&D,,2021-07-28,3,Foreign deal experience site majority meet our.,11.6
Marketing,,2021-07-28,2,Return figure she at people anything.,6.7
Admin Expenses,,2021-07-28,1,Chair play again answer by.,2.68
Employee Compensation,Base Salary,2021-07-28,2,White this wife company million attack.,1.86
Cost of Goods Sold,,2021-08-01,2,Interesting wait between more happen.,8.42
R&D,,2021-08-01,2,Really task how peace reach alone expert.,8.87
Marketing,,2021-08-01,3,Statement stop these participant require program.,4.2
Admin Expenses,,2021-08-01,3,Enter ready off include stand father.,4.94
Employee Compensation,Bonuses,2021-08-01,2,Sense actually attorney detail there.,1.66
Cost of Goods Sold,,2021-08-02,1,Hear you free member teach stay one.,11.03
R&D,,2021-08-02,1,Eye entire ready area.,8.78
Marketing,,2021-08-02,2,Always reduce everybody practice particularly season.,3.55
Admin Expenses,,2021-08-02,2,Effect issue positive side.,5.24
Employee Compensation,Taxes,2021-08-02,1,Will quality total beat become everything.,1.53
Cost of Goods Sold,,2021-08-03,3,Price agent face position.,1.62
R&D,,2021-08-03,1,Author rate least require economy have my five.,1.12
Marketing,,2021-08-03,1,Garden civil face another similar.,3.49
Admin Expenses,,2021-08-03,2,Car seat whom.,2.87
Employee Compensation,Taxes,2021-08-03,3,Line suffer claim family.,1.35
Cost of Goods Sold,,2021-08-04,1,Every form worker PM job.,3.23
R&D,,2021-08-04,1,Current beyond shake national church check company edge.,5.39
Marketing,,2021-08-04,1,House include remain run wear.,9.82
Admin Expenses,,2021-08-04,2,Herself physical natural benefit short federal.,10.68
Employee Compensation,Benefits,2021-08-04,2,The do land protect television.,1.51
Cost of Goods Sold,,2021-08-05,3,East fire body.,3.89
R&D,,2021-08-05,3,Never candidate time wall service identify.,11.57
Marketing,,2021-08-05,2,Until store without tonight appear very artist.,11.75
Admin Expenses,,2021-08-05,2,Data history speak finish off.,9.77
Employee Compensation,Base Salary,2021-08-05,2,Impact those nice beat better environment.,1.47
Cost of Goods Sold,,2021-08-06,1,Customer eat soldier single.,3.22
R&D,,2021-08-06,2,Couple surface great.,9.71
Marketing,,2021-08-06,2,Pattern certainly page.,2.75
Admin Expenses,,2021-08-06,2,Full spring home beyond feeling.,9.44
Employee Compensation,Bonuses,2021-08-06,2,Mean gun guy couple while.,1.96
Cost of Goods Sold,,2021-08-07,3,Interest magazine require finish including expert staff.,6.29
R&D,,2021-08-07,2,West teacher human positive stop.,5.06
Marketing,,2021-08-07,3,Finish phone training picture employee civil wall probably.,3.54
Admin Expenses,,2021-08-07,1,Spring relationship run hold both drug both.,2.87
Employee Compensation,Base Salary,2021-08-07,3,Less have natural protect huge.,1.81
Cost of Goods Sold,,2021-08-08,2,Stay Mr possible option goal.,11.75
R&D,,2021-08-08,3,Identify himself represent citizen animal.,9.08
Marketing,,2021-08-08,2,Might require agent.,7.94
Admin Expenses,,2021-08-08,3,However theory represent we several enjoy number.,8.73
Employee Compensation,Base Salary,2021-08-08,1,Newspaper catch raise.,1.44
Cost of Goods Sold,,2021-08-09,3,Top important three model method.,3.21
R&D,,2021-08-09,1,She especially help thus safe feel professor.,7.93
Marketing,,2021-08-09,2,Yard represent note new shake baby account successful.,2.29
Admin Expenses,,2021-08-09,3,Unit fly training employee morning.,4.6
Employee Compensation,Taxes,2021-08-09,1,Animal common partner article certainly stay student expect.,1.7
Cost of Goods Sold,,2021-08-10,1,Education short official including side pass.,3.65
R&D,,2021-08-10,3,Could couple media particularly manage finally.,5.92
Marketing,,2021-08-10,2,Space rule first how.,1.76
Admin Expenses,,2021-08-10,3,Despite particularly within determine.,2.26
Employee Compensation,Benefits,2021-08-10,1,Camera where order rise each.,1.47
Cost of Goods Sold,,2021-08-11,2,Event ago until sound.,7.63
R&D,,2021-08-11,1,Base sport who sound defense south whose.,1.7
Marketing,,2021-08-11,2,Management business later remember under.,6.19
Admin Expenses,,2021-08-11,3,Watch style him benefit.,1.2
Employee Compensation,Base Salary,2021-08-11,3,Yes image material music.,1.55
Cost of Goods Sold,,2021-08-12,1,Sometimes present capital place probably.,4.29
R&D,,2021-08-12,1,Side if environmental artist involve significant.,2.89
Marketing,,2021-08-12,1,Might ability condition seven difference bill gas.,6.05
Admin Expenses,,2021-08-12,1,Agent quite myself language anyone herself.,8.54
Employee Compensation,Taxes,2021-08-12,3,Occur stuff worry cover.,1.11
Cost of Goods Sold,,2021-08-13,1,Score state source person source north operation.,3.69
R&D,,2021-08-13,1,Most these father inside somebody.,7.99
Marketing,,2021-08-13,1,Future hour reality arrive.,9.23
Admin Expenses,,2021-08-13,1,Interest reason stay medical.,5.16
Employee Compensation,Base Salary,2021-08-13,1,Pick letter treatment everything at.,1.86
Cost of Goods Sold,,2021-08-14,3,Shake really up central.,9.84
R&D,,2021-08-14,3,Threat task nation option.,7.32
Marketing,,2021-08-14,2,Would station heart.,10.93
Admin Expenses,,2021-08-14,2,Realize carry weight protect because the tend.,8.1
Employee Compensation,Taxes,2021-08-14,2,Spring total treat.,1.64
Cost of Goods Sold,,2021-08-15,3,Friend within daughter relate.,8.06
R&D,,2021-08-15,1,Wear science join choose risk per price.,11.72
Marketing,,2021-08-15,3,Clearly win laugh produce prepare minute show.,5.45
Admin Expenses,,2021-08-15,2,Challenge avoid system city.,6.16
Employee Compensation,Base Salary,2021-08-15,1,Few into kid consumer set.,1.15
Cost of Goods Sold,,2021-08-16,1,Then key research although fight arrive identify.,4.64
R&D,,2021-08-16,3,Part one source marriage attorney dream.,8.45
Marketing,,2021-08-16,3,More weight compare their.,7.96
Admin Expenses,,2021-08-16,2,Animal than ahead.,5.83
Employee Compensation,Bonuses,2021-08-16,3,Your key morning trade avoid treatment.,1.68
Cost of Goods Sold,,2021-08-17,3,Better walk light bill move son analysis pick.,3.61
R&D,,2021-08-17,2,Few couple low.,10.4
Marketing,,2021-08-17,1,Draw test human or its.,5.99
Admin Expenses,,2021-08-17,2,Price son one yard perhaps dog happy out.,1.08
Employee Compensation,Taxes,2021-08-17,3,Thank machine million door.,1.99
Cost of Goods Sold,,2021-08-18,2,Edge network push ever what help.,1.44
R&D,,2021-08-18,2,Value appear themselves common offer help.,2.55
Marketing,,2021-08-18,1,Several product lot decade lose page government today.,3.87
Admin Expenses,,2021-08-18,2,Citizen free because.,11.03
Employee Compensation,Benefits,2021-08-18,1,Think brother hold recent.,1.17
Cost of Goods Sold,,2021-08-19,2,Himself kid hit main cold community next.,5.83
R&D,,2021-08-19,2,Later name rather moment move.,3.8
Marketing,,2021-08-19,2,Peace network campaign challenge wind.,9.61
Admin Expenses,,2021-08-19,1,Condition value parent discuss when may technology.,6.83
Employee Compensation,Base Salary,2021-08-19,2,Performance method argue owner.,1.69
Cost of Goods Sold,,2021-08-20,2,Husband Republican level traditional garden nearly.,1.42
R&D,,2021-08-20,3,Coach would week article natural.,3.99
Marketing,,2021-08-20,3,Skill one political city.,1.06
Admin Expenses,,2021-08-20,1,Among development else inside adult include somebody.,10.33
Employee Compensation,Taxes,2021-08-20,2,Citizen American organization behind TV sell far.,1.76
Cost of Goods Sold,,2021-08-21,2,Own matter girl respond me position.,7.35
R&D,,2021-08-21,2,Major forget indeed drug cultural work.,2.15
Marketing,,2021-08-21,2,See house and maintain.,6.93
Admin Expenses,,2021-08-21,2,Bag popular practice gas.,7.46
Employee Compensation,Base Salary,2021-08-21,1,Beautiful film foot bar despite reflect standard look.,1.51
Cost of Goods Sold,,2021-08-22,1,Remember form garden everything standard voice address.,8.24
R&D,,2021-08-22,2,Account bar position decide.,4.73
Marketing,,2021-08-22,3,Contain population ahead country moment perform fall.,4.73
Admin Expenses,,2021-08-22,3,Allow want war throw right.,2.87
Employee Compensation,Taxes,2021-08-22,1,Condition smile seek off last.,1.9
Cost of Goods Sold,,2021-08-23,2,Difficult direction tell media world hour.,3.34
R&D,,2021-08-23,3,Contain food hotel often economy.,6.63
Marketing,,2021-08-23,2,Population detail face above.,10.52
Admin Expenses,,2021-08-23,2,Hour necessary hour onto brother they result.,11.63
Employee Compensation,Benefits,2021-08-23,3,Prove rock ask fill executive popular sing.,1.39
Cost of Goods Sold,,2021-08-24,3,Reality town late medical establish play least travel.,10.57
R&D,,2021-08-24,2,With forward building cold rate work.,1.93
Marketing,,2021-08-24,1,Exist hotel professional test than road.,8.33
Admin Expenses,,2021-08-24,1,Coach another size travel hand life drive.,7.45
Employee Compensation,Taxes,2021-08-24,1,Your economy risk.,1.43
Cost of Goods Sold,,2021-08-25,2,Control exist than history.,10.23
R&D,,2021-08-25,1,Standard agree never act southern.,4.52
Marketing,,2021-08-25,2,Offer find machine local.,1.03
Admin Expenses,,2021-08-25,2,Four management rather bar range knowledge nature.,8.34
Employee Compensation,Bonuses,2021-08-25,2,Debate for candidate west heavy.,1.27
Cost of Goods Sold,,2021-08-26,3,Happen official teacher piece goal mean.,10.42
R&D,,2021-08-26,2,Three sort use near involve purpose.,11.82
Marketing,,2021-08-26,1,Concern some star.,4.86
Admin Expenses,,2021-08-26,2,Recognize week certainly should reduce front performance artist.,8.48
Employee Compensation,Benefits,2021-08-26,2,Unit book old wear step.,1.01
Cost of Goods Sold,,2021-08-27,1,Other man central prove floor mouth.,5.18
R&D,,2021-08-27,2,Whole interview attack wear detail.,3.37
Marketing,,2021-08-27,3,Animal throw degree.,3.18
Admin Expenses,,2021-08-27,3,Court up detail interesting.,2.59
Employee Compensation,Base Salary,2021-08-27,3,Water style fight order.,1.71
Cost of Goods Sold,,2021-08-28,1,Guy pull indeed eye quite hot.,7.14
R&D,,2021-08-28,1,Position art although each.,4.3
Marketing,,2021-08-28,1,Election raise give story catch win.,8.18
Admin Expenses,,2021-08-28,1,Accept will clearly program from send about during.,11.85
Employee Compensation,Taxes,2021-08-28,3,Tell discussion level in seat produce.,1.8
Cost of Goods Sold,,2021-09-01,2,Idea movie so moment receive management.,3.64
R&D,,2021-09-01,1,Knowledge good first than act even.,2.06
Marketing,,2021-09-01,2,At challenge Democrat adult.,6.19
Admin Expenses,,2021-09-01,3,So together itself position.,9.99
Employee Compensation,Base Salary,2021-09-01,3,Agreement represent yes subject term realize forward.,1.7
Cost of Goods Sold,,2021-09-02,3,Operation field daughter black easy rich.,6.45
R&D,,2021-09-02,2,Yes professional use sit finish.,8.98
Marketing,,2021-09-02,3,Type gas full various.,5.08
Admin Expenses,,2021-09-02,2,Scientist hard just.,3.33
Employee Compensation,Benefits,2021-09-02,3,Decision better better production.,1.37
Cost of Goods Sold,,2021-09-03,1,Spring really particular will.,6.18
R&D,,2021-09-03,1,Town each under indeed child suffer.,2.69
Marketing,,2021-09-03,3,Less wonder upon project simple opportunity organization art.,8.09
Admin Expenses,,2021-09-03,3,Life enjoy value hear too feeling specific.,3.55
Employee Compensation,Base Salary,2021-09-03,1,Student she include explain article mention.,1.07
Cost of Goods Sold,,2021-09-04,2,Life skin be new involve.,6.35
R&D,,2021-09-04,2,Adult plant term impact how threat receive.,1.19
Marketing,,2021-09-04,1,Congress issue continue beyond cover.,1.35
Admin Expenses,,2021-09-04,1,Including final position beat.,7.06
Employee Compensation,Taxes,2021-09-04,2,In tax mention.,1.61
Cost of Goods Sold,,2021-09-05,2,Crime position wonder must listen black.,3.22
R&D,,2021-09-05,3,Billion meet learn skin former.,11.72
Marketing,,2021-09-05,2,Health smile speak growth level he really.,2.89
Admin Expenses,,2021-09-05,1,Where house other middle.,2.64
Employee Compensation,Taxes,2021-09-05,3,Mission develop food although since either fire his.,1.76
Cost of Goods Sold,,2021-09-06,3,Ball enjoy true per daughter.,5.97
R&D,,2021-09-06,3,State government week.,2.65
Marketing,,2021-09-06,2,Build huge phone position play few herself.,3.73
Admin Expenses,,2021-09-06,2,Admit center use international.,7.56
Employee Compensation,Benefits,2021-09-06,3,Ever tough no direction need accept should.,1.02
Cost of Goods Sold,,2021-09-07,3,Mission onto time.,2.34
R&D,,2021-09-07,3,Get physical former rule service on.,4.96
Marketing,,2021-09-07,2,Mrs key oil something explain.,4.06
Admin Expenses,,2021-09-07,2,Between speak from entire heavy worker.,2.1
Employee Compensation,Base Salary,2021-09-07,3,Million education character language but against point.,1.83
Cost of Goods Sold,,2021-09-08,1,Ask thousand road debate.,6.78
R&D,,2021-09-08,2,End group while pass.,1.62
Marketing,,2021-09-08,1,Beautiful hot major fight represent toward standard.,8.53
Admin Expenses,,2021-09-08,3,Possible door other.,8.15
Employee Compensation,Bonuses,2021-09-08,2,Bit above quickly.,1.25
Cost of Goods Sold,,2021-09-09,3,Major strategy reason great weight through.,7.17
R&D,,2021-09-09,3,Ask development major pressure region research.,11.67
Marketing,,2021-09-09,2,Research city piece floor before civil price never.,6.83
Admin Expenses,,2021-09-09,1,Miss among home game.,4.52
Employee Compensation,Bonuses,2021-09-09,1,Bill front medical fill prepare young ok.,1.94
Cost of Goods Sold,,2021-09-10,2,Throw for run happen management.,3.59
R&D,,2021-09-10,3,Million listen many different take.,5.93
Marketing,,2021-09-10,2,Social allow save tax.,11.98
Admin Expenses,,2021-09-10,1,Best economic sure third state choose positive.,8.31
Employee Compensation,Bonuses,2021-09-10,1,Across maintain team who land.,1.99
Cost of Goods Sold,,2021-09-11,3,Either improve chair soldier federal.,10.37
R&D,,2021-09-11,2,Manager among protect new decision politics.,7.03
Marketing,,2021-09-11,1,Result difficult work feeling head.,6.24
Admin Expenses,,2021-09-11,2,Wind six option pretty particularly audience allow present.,11.49
Employee Compensation,Benefits,2021-09-11,2,Structure source up.,1.91
Cost of Goods Sold,,2021-09-12,1,Stuff enjoy window field.,5.37
R&D,,2021-09-12,2,Positive interest never allow.,6.36
Marketing,,2021-09-12,2,Majority alone recognize piece foot effect treatment.,5.7
Admin Expenses,,2021-09-12,1,Even again politics democratic yard participant.,2.31
Employee Compensation,Benefits,2021-09-12,3,Impact walk section item best study.,1.53
Cost of Goods Sold,,2021-09-13,3,Stock partner stuff arm almost ok challenge.,5.51
R&D,,2021-09-13,1,Visit there sort their four summer knowledge since.,2.99
Marketing,,2021-09-13,1,Sort special whom.,8.31
Admin Expenses,,2021-09-13,2,Detail leave skill never weight detail gas.,2.02
Employee Compensation,Bonuses,2021-09-13,2,Remember operation class possible.,1.17
Cost of Goods Sold,,2021-09-14,2,Cost size paper once child some by student.,10.41
R&D,,2021-09-14,3,Or car daughter soldier stop.,7.93
Marketing,,2021-09-14,2,Maintain also entire.,3.77
Admin Expenses,,2021-09-14,3,Let conference authority only letter structure.,2.37
Employee Compensation,Base Salary,2021-09-14,2,Range doctor where cell.,1.74
Cost of Goods Sold,,2021-09-15,1,Guess mission fund.,9.43
R&D,,2021-09-15,3,Between happy appear.,8.7
Marketing,,2021-09-15,3,Evening hard wish wonder religious.,6.05
Admin Expenses,,2021-09-15,2,Of walk today friend read appear.,11.74
Employee Compensation,Bonuses,2021-09-15,2,Agency order question society put.,1.46
Cost of Goods Sold,,2021-09-16,2,Six PM than job draw change.,1.32
R&D,,2021-09-16,3,Bad Democrat market too room.,6.1
Marketing,,2021-09-16,1,Management third car.,4.19
Admin Expenses,,2021-09-16,3,Few simple those create.,2.33
Employee Compensation,Taxes,2021-09-16,1,Dinner just condition look yard free.,1.1
Cost of Goods Sold,,2021-09-17,2,Source bar include fly room attention various reveal.,8.3
R&D,,2021-09-17,2,Protect maybe approach.,5.37
Marketing,,2021-09-17,3,My country full.,10.28
Admin Expenses,,2021-09-17,2,Into wall run.,9.07
Employee Compensation,Base Salary,2021-09-17,1,Final work let civil.,1.1
Cost of Goods Sold,,2021-09-18,3,President west tax.,11.05
R&D,,2021-09-18,3,From dark figure realize.,9.26
Marketing,,2021-09-18,3,Get hard special heavy memory of than.,3.57
Admin Expenses,,2021-09-18,1,Six particularly official ten worker often traditional amount.,6.6
Employee Compensation,Benefits,2021-09-18,3,Pm fight interview oil.,1.63
Cost of Goods Sold,,2021-09-19,2,History least need seem.,4.49
R&D,,2021-09-19,2,Quality chance loss eight life.,6.91
Marketing,,2021-09-19,2,Finish receive dream improve eye prevent involve range.,2.13
Admin Expenses,,2021-09-19,3,Black war almost term.,4.57
Employee Compensation,Benefits,2021-09-19,1,Individual light reach whatever state hand city hot.,1.34
Cost of Goods Sold,,2021-09-20,1,Outside use white into expert.,3.5
R&D,,2021-09-20,1,Institution easy animal moment lose every.,11.72
Marketing,,2021-09-20,3,Attack deep last free provide memory present public.,3.64
Admin Expenses,,2021-09-20,1,Tonight today deal guy baby.,2.69
Employee Compensation,Bonuses,2021-09-20,3,Provide them analysis yard fill message field.,1.97
Cost of Goods Sold,,2021-09-21,1,According already scene politics because last lawyer.,10.6
R&D,,2021-09-21,3,Break already president.,5.46
Marketing,,2021-09-21,2,Military model push lot.,10.25
Admin Expenses,,2021-09-21,3,Worker must teach whether fire edge.,7.3
Employee Compensation,Benefits,2021-09-21,1,Hear indeed fear authority.,1.78
Cost of Goods Sold,,2021-09-22,2,Today prove improve best guy factor per.,3.44
